race_id,Horse Name,first_start,num_horses,Num,Age,Gender,Barrier,race_distance,Career ROI,Best Fixed Odds,Dry Track Strike Rate,Wet Track Strike Rate,Average Prize Money,Career Place Strike Rate,Weight,Career Strike Rate,This Condition Strike Rate,This Condition Place Strike Rate,Jockey Last 100 Avg Horse Earnings,Jockey Last 100 Strike Rate,Jockey Last 100 Place Strike Rate,Trainer Last 100 Avg Horse Earnings,Trainer Last 100 Strike Rate,Trainer Last 100 Place Strike Rate,Last Start Margin,Finish Result (Updates after race),win_label,place_label
859268,Another Slipper,0,9,2,5,G,3,1350.0,-5,5.5,0.026841879745011173,-1.0,1.0,-1.0,0.8333333333333321,-0.6176614082192968,-1.0,-0.6862732797320843,-0.04849039341262595,-0.7894736842105263,-0.7333333333333332,1.0,0.5,1.0,0.484375,2.099999999999966,0,0
859268,Man Overboard,0,9,9,8,G,8,1350.0,-12,17.2,-0.5684270380290415,-0.06348423419817795,-1.0,-0.6426610977393787,-1.0,-0.617661313100875,-0.1495506709188411,-0.4053085559236736,-0.8801463860933212,-1.0,-1.0,-1.0,-0.4166666666666666,-0.2941176470588234,-0.640625,2.6000000000000227,0,0
859268,Stormy Grey,0,9,5,7,G,9,1350.0,10,11.0,-0.42362803158547147,0.4729160474803245,-0.0707070449015843,-0.3408778480420103,0.5,-0.34390770560633177,-0.2266159020501347,-0.5483291494059934,1.0,1.0,1.0,-0.9138316656856976,-0.75,-0.8235294117647058,0.03125,4.100000000000024,0,0
859268,The Groom,0,9,3,4,G,5,1350.0,-30,26.0,0.09682493692150064,-0.06348423419817795,-0.1793799675609502,0.1165974900772051,0.8333333333333321,-0.4433158616456576,-1.0,0.610280035248941,-0.9569990850869168,-1.0,-0.6666666666666665,-0.6753384343731607,-0.3333333333333333,-0.2941176470588234,0.0,4.400000000000006,0,0
859268,Overgrown,0,9,8,6,M,6,1350.0,-16,4.0,-0.42362803735094334,-0.2074808697514081,-0.5604318930529897,-0.15706441413639372,-0.8333333333333357,-0.6635418059776861,0.060203854080609125,0.9679237738580316,0.3860933211344921,0.4736842105263157,0.3999999999999999,0.8194231901118303,0.9999999999999998,0.6470588235294117,-1.0,5.19999999999996,0,0
811576,Zuberina,0,8,3,6,M,1,1400.0,51,2.05,1.0,-0.4697008978085193,-0.3902360292495842,0.22438222756195225,0.6666666666666643,0.03999420816274602,-0.9994826273815542,-0.5011878365614871,-0.4832439678284182,-0.5714285714285716,0.36363636363636376,0.3667888356357485,0.8888888888888888,1.0,-1.0,0.0,1,1
811576,Jubilance,0,8,7,4,M,6,1400.0,98,8.6,-0.9987112205981196,-0.3007263757644836,-0.3895070845402989,-1.0,0.0,-0.6225620204985164,-0.17388119725879558,-0.17511476936469328,1.0,0.8571428571428568,0.9090909090909092,0.3538201296870596,1.0,0.6666666666666665,-0.5925925925925926,0.09999999999990904,0,1
811576,Boart,0,8,2,8,G,4,1400.0,4,23.0,-0.7347285179079175,-0.4890536994712196,-0.9274748587175784,-0.6326791429474978,0.6666666666666643,-0.9704223866870788,-0.4992762244603327,-0.2500134332423344,-1.0,-1.0,-1.0,-0.5669579926698618,-0.3333333333333335,-0.3999999999999999,0.7160493827160495,5.849999999999881,0,1
811576,Barjeel,0,8,1,5,G,3,1400.0,-23,14.0,-0.5317839678035854,-0.999482271706668,-0.7542577031348682,-0.41583603037797795,1.0,-0.8300095047829567,-0.9979005078685812,-1.0,-0.3994638069705092,-0.14285714285714302,-0.09090909090909084,-1.0,-1.0,-1.0,0.1358024691358024,6.3499999999999375,0,0
811576,Cheers Chappy,0,8,4,7,G,2,1400.0,-28,31.0,-0.5386784394024698,-1.0,-0.9526468081757888,-0.2035468288113782,0.3333333333333321,-0.9997995564015164,-1.0,-0.2410991522024789,0.1487935656836461,0.9999999999999996,1.0,-0.6199605300253734,-0.5555555555555557,-0.1333333333333333,1.0,9.349999999999936,0,0
811576,Dothraki Princess,0,8,6,4,M,7,1400.0,6,8.5,-1.0,0.20748298144037536,-0.7676967700425801,-0.6494951312989719,0.1666666666666643,-0.4565716955359106,0.39800015514668186,-0.302303396918958,-0.7111260053619302,-0.4285714285714288,-0.8181818181818179,1.0,0.5555555555555554,0.3333333333333335,-1.0,10.849999999999936,0,0
811576,The Rockbank Flash,0,8,9,4,M,8,1400.0,-50,41.0,-0.9999400563446992,0.24641190874286398,-1.0,-0.9207116125045028,-1.0,-1.0,0.24641177469198386,-0.3777191983527606,-0.5355227882037532,-0.4285714285714288,4.440892098500626e-16,-0.8477586692979983,-0.7777777777777779,-0.7999999999999998,0.2962962962962963,13.599999999999907,0,0
811576,Triple Strip,0,8,5,3,F,5,1400.0,4,4.25,0.0006443897009402733,1.0,1.0000000000000002,1.0,0.3333333333333321,1.0000000000000002,1.0,1.0,0.4014745308310994,0.5714285714285712,1.0,-0.6193966732449957,-0.44444444444444464,-0.9333333333333332,-0.2592592592592592,14.599999999999936,0,0
805503,Free Hand,0,8,4,5,M,5,1300.0,-100,2.35,-0.02215722967741529,0.9999999999999998,-0.18871423429543369,-0.9959210388008046,-1.0,-0.007748339954202654,-0.03817970296900475,-0.9969810319112796,-0.23311781609195406,-0.3846153846153845,-0.2413793103448274,0.7184897649033819,0.9999999999999998,1.0000000000000004,-1.0,0.0,1,1
